iter	Passed	Remaining
0	60	60054
1	60	30206
2	60	20243
3	61	15286
4	61	12290
5	62	10307
6	62	8877
7	62	7811
8	63	6974
9	63	6309
10	64	5763
11	64	5303
12	64	4923
13	65	4593
14	65	4302
15	65	4054
16	66	3829
17	66	3629
18	66	3450
19	67	3290
20	67	3145
21	67	3015
22	68	2895
23	68	2789
24	68	2688
25	69	2597
26	69	2516
27	70	2438
28	70	2364
29	70	2294
30	71	2231
31	71	2172
32	72	2113
33	72	2058
34	72	2007
35	73	1958
36	73	1910
37	73	1867
38	74	1824
39	74	1785
40	74	1748
41	75	1715
42	75	1681
43	75	1649
44	76	1618
45	76	1591
46	77	1562
47	77	1538
48	77	1512
49	78	1488
50	78	1465
51	79	1442
52	79	1420
53	79	1398
54	80	1376
55	80	1356
56	80	1338
57	81	1320
58	81	1301
59	81	1282
60	82	1265
61	82	1250
62	83	1235
63	83	1220
64	83	1205
65	84	1190
66	84	1175
67	84	1160
68	85	1146
69	85	1133
70	85	1120
71	86	1109
72	86	1098
73	86	1087
74	87	1076
75	87	1066
76	88	1055
77	88	1045
78	88	1035
79	89	1024
80	89	1015
81	89	1007
82	90	998
83	90	989
84	91	980
85	91	973
86	91	964
87	92	956
88	92	947
89	92	939
90	93	931
91	93	924
92	93	916
93	94	909
94	94	901
95	94	893
96	95	887
97	95	880
98	95	873
99	96	866
100	96	859
101	97	854
102	97	848
103	97	842
104	98	836
105	98	830
106	98	824
107	99	819
108	99	813
109	99	808
110	99	800
111	100	796
112	100	791
113	101	786
114	101	781
115	101	776
116	102	771
117	102	766
118	102	760
119	103	756
120	103	752
121	104	748
122	104	744
123	104	739
124	105	736
125	105	731
126	105	728
127	106	723
128	106	719
129	107	716
130	107	712
131	107	708
132	108	704
133	108	700
134	108	696
135	109	692
136	109	688
137	109	685
138	110	682
139	110	679
140	111	676
141	111	673
142	111	670
143	112	667
144	112	663
145	113	661
146	113	657
147	113	655
148	114	652
149	114	649
150	115	646
151	115	644
152	115	641
153	116	638
154	116	635
155	116	632
156	117	629
157	117	626
158	117	623
159	118	620
160	118	617
161	119	615
162	119	612
163	119	609
164	119	606
165	119	602
166	120	600
167	120	597
168	120	594
169	121	592
170	121	590
171	122	588
172	122	586
173	123	584
174	123	581
175	123	580
176	124	577
177	124	575
178	124	573
179	125	570
180	125	568
181	125	566
182	126	563
183	126	561
184	126	559
185	127	556
186	127	554
187	127	552
188	128	550
189	128	547
190	128	545
191	129	543
192	129	541
193	129	539
194	130	537
195	130	535
196	131	534
197	131	532
198	131	530
199	132	528
200	132	526
201	132	524
202	133	523
203	133	521
204	133	518
205	134	517
206	134	515
207	134	513
208	135	512
209	135	510
210	135	508
211	136	506
212	136	504
213	136	502
214	137	500
215	137	498
216	137	497
217	138	496
218	138	495
219	139	493
220	139	491
221	139	490
222	140	489
223	140	487
224	140	485
225	141	484
226	141	482
227	141	480
228	142	479
229	142	477
230	143	476
231	143	474
232	143	473
233	144	471
234	144	470
235	144	468
236	145	466
237	145	465
238	145	463
239	146	462
240	146	460
241	146	459
242	146	457
243	147	456
244	147	454
245	147	453
246	148	452
247	148	450
248	148	449
249	149	448
250	149	446
251	150	445
252	150	444
253	150	443
254	151	441
255	151	440
256	151	439
257	152	437
258	152	436
259	152	435
260	153	434
261	153	432
262	153	431
263	154	430
264	154	429
265	155	428
266	155	427
267	155	425
268	156	424
269	156	423
270	156	422
271	157	420
272	157	419
273	158	418
274	158	417
275	158	416
276	159	415
277	159	414
278	159	413
279	160	412
280	160	410
281	160	409
282	161	408
283	161	407
284	161	406
285	162	405
286	162	404
287	162	402
288	163	401
289	163	400
290	164	399
291	164	398
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	392
298	166	391
299	167	390
300	167	389
301	168	388
302	168	387
303	168	386
304	169	385
305	169	384
306	169	383
307	170	382
308	170	381
309	170	380
310	171	379
311	171	378
312	171	377
313	172	376
314	172	374
315	172	373
316	173	372
317	173	371
318	173	370
319	174	370
320	174	369
321	174	368
322	175	367
323	175	366
324	175	365
325	176	364
326	176	363
327	176	362
328	177	361
329	177	360
330	177	359
331	178	358
332	178	357
333	178	356
334	179	356
335	179	355
336	180	354
337	180	353
338	180	352
339	181	352
340	181	351
341	182	350
342	182	349
343	182	348
344	183	347
345	183	346
346	183	346
347	184	345
348	184	344
349	184	343
350	185	342
351	185	341
352	186	341
353	186	340
354	186	339
355	187	338
356	187	337
357	187	336
358	188	335
359	188	335
360	188	334
361	189	333
362	189	332
363	189	331
364	190	330
365	190	329
366	190	329
367	191	328
368	191	327
369	191	326
370	192	325
371	192	325
372	192	324
373	193	323
374	193	322
375	193	321
376	194	320
377	194	319
378	194	319
379	195	318
380	195	317
381	195	316
382	196	316
383	196	315
384	196	314
385	197	313
386	197	312
387	197	312
388	198	311
389	198	310
390	198	309
391	199	308
392	199	308
393	199	307
394	200	306
395	200	305
396	200	304
397	200	304
398	201	303
399	201	302
400	201	301
401	202	300
402	202	300
403	202	299
404	203	298
405	203	297
406	203	296
407	204	296
408	204	295
409	204	294
410	205	293
411	205	293
412	205	292
413	205	291
414	206	290
415	206	289
416	206	289
417	207	288
418	207	287
419	207	287
420	208	286
421	208	285
422	208	284
423	209	284
424	209	283
425	209	282
426	210	282
427	210	281
428	210	280
429	211	279
430	211	279
431	211	278
432	212	278
433	212	277
434	213	276
435	213	276
436	213	275
437	214	274
438	214	273
439	214	273
440	215	272
441	215	271
442	215	271
443	216	270
444	216	269
445	216	269
446	217	268
447	217	267
448	217	267
449	218	266
450	218	265
451	218	265
452	219	264
453	219	263
454	219	263
455	220	262
456	220	262
457	220	261
458	221	260
459	221	260
460	221	259
461	222	258
462	222	258
463	222	257
464	223	256
465	223	256
466	223	255
467	224	254
468	224	254
469	224	253
470	225	252
471	225	252
472	225	251
473	226	251
474	226	250
475	226	249
476	227	249
477	227	248
478	227	247
479	228	247
480	228	246
481	229	246
482	229	245
483	229	244
484	229	244
485	230	243
486	230	243
487	231	242
488	231	241
489	231	241
490	231	240
491	232	239
492	232	239
493	233	238
494	233	238
495	233	237
496	234	236
497	234	236
498	234	235
499	235	235
500	235	234
501	235	233
