iter	Passed	Remaining
0	0	33
1	0	32
2	0	31
3	1	34
4	1	32
5	2	31
6	2	30
7	2	29
8	3	30
9	3	31
10	3	31
11	4	30
12	4	30
13	5	30
14	5	30
15	5	30
16	6	29
17	6	29
18	6	28
19	7	28
20	7	27
21	7	27
22	8	26
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	25
29	10	24
30	10	24
31	11	24
32	11	23
33	12	23
34	12	23
35	12	22
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	15	20
43	15	19
44	16	19
45	16	19
46	16	18
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	27	9
74	27	9
75	27	8
76	28	8
77	28	7
78	28	7
79	29	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	36	0
