iter	RMSE
0	14.18038145
1	13.26485354
2	12.41009601
3	11.68220814
4	10.97781078
5	10.46812977
6	9.936564755
7	9.437808692
8	9.050588262
9	8.636087462
10	8.263279403
11	7.960423053
12	7.680824376
13	7.436724814
14	7.22509582
15	7.009446012
16	6.828340201
17	6.65732381
18	6.510564668
19	6.387166921
20	6.273151637
21	6.176491475
22	6.078849597
23	5.990523489
24	5.903538837
25	5.831271974
26	5.757568796
27	5.697519356
28	5.64208958
29	5.591345085
30	5.543932931
31	5.505929812
32	5.463218844
33	5.434324011
34	5.402798523
35	5.366431779
36	5.343524433
37	5.316134341
38	5.294689764
39	5.27179484
40	5.25540467
41	5.241986236
42	5.224814475
43	5.207637873
44	5.192015928
45	5.175521575
46	5.147143862
47	5.132992441
48	5.111542666
49	5.089484869
50	5.07311246
51	5.063843191
52	5.062148388
53	5.047934878
54	5.039375244
55	5.021124198
56	5.00693179
57	4.998091465
58	4.985078716
59	4.978931137
60	4.96854626
61	4.955694834
62	4.937606587
63	4.929390985
64	4.910803252
65	4.903970545
66	4.893225727
67	4.87728922
68	4.869955386
69	4.857026675
70	4.843297129
71	4.834026689
72	4.827371439
73	4.822798643
74	4.814045053
75	4.800784545
76	4.79063885
77	4.779944517
78	4.765694502
79	4.75294201
80	4.744274331
81	4.739771509
82	4.730194022
83	4.716530104
84	4.709968897
85	4.69839579
86	4.689367542
87	4.673532316
88	4.662825882
89	4.649819586
90	4.64635099
91	4.641920351
92	4.632137458
93	4.62559309
94	4.613971937
95	4.608149075
96	4.604681268
97	4.596334364
98	4.582595459
99	4.570578145
